date,Stock,Open,High,Low,Close
01-April-2021,NFLX,529.929993,540.5,527.030029,539.419983
05-April-2021,NFLX,540.01001,542.849976,529.22998,540.669983
06-April-2021,NFLX,544.809998,554.169983,543.299988,544.530029
07-April-2021,NFLX,543.5,549.640015,541.450012,546.98999
08-April-2021,NFLX,551.130005,556.900024,547.570007,554.580017
09-April-2021,NFLX,552.690002,556.900024,547.109985,555.309998
12-April-2021,NFLX,551.049988,557.97998,549.580017,552.780029
13-April-2021,NFLX,557.0,559.75,550.299988,553.72998
14-April-2021,NFLX,554.869995,554.869995,538.530029,540.02002
15-April-2021,NFLX,544.169983,553.48999,542.659973,549.219971
16-April-2021,NFLX,544.169983,553.48999,542.659973,549.219971
19-April-2021,NFLX,546.900024,556.440002,545.530029,554.440002
20-April-2021,NFLX,554.419983,563.559998,546.299988,549.570007
21-April-2021,NFLX,508.0,515.460022,503.600006,508.899994
22-April-2021,NFLX,513.820007,513.960022,500.549988,508.779999
23-April-2021,NFLX,509.01001,509.700012,500.700012,505.549988
26-April-2021,NFLX,506.76001,510.480011,503.0,510.299988
27-April-2021,NFLX,512.619995,512.98999,504.579987,505.549988
28-April-2021,NFLX,505.200012,508.399994,503.339996,506.519989
29-April-2021,NFLX,507.600006,509.290009,499.0,509.0
30-April-2021,NFLX,507.600006,509.290009,499.0,509.0
03-May-2021,NFLX,512.650024,518.950012,505.200012,509.109985
04-May-2021,NFLX,510.779999,511.630005,496.790009,503.179993
05-May-2021,NFLX,504.98999,507.779999,494.630005,496.079987
06-May-2021,NFLX,495.98999,499.549988,491.369995,499.549988
07-May-2021,NFLX,504.619995,508.549988,501.119995,503.839996
10-May-2021,NFLX,502.0,503.149994,486.109985,486.690002
11-May-2021,NFLX,479.75,497.98999,478.630005,495.079987
12-May-2021,NFLX,486.829987,493.540009,482.700012,484.980011
13-May-2021,NFLX,489.130005,490.779999,482.709991,486.660004
14-May-2021,NFLX,487.859985,494.850006,486.589996,493.369995
17-May-2021,NFLX,485.589996,492.709991,482.809998,488.940002
18-May-2021,NFLX,488.399994,493.480011,486.190002,486.279999
19-May-2021,NFLX,481.630005,488.570007,478.540009,487.700012
20-May-2021,NFLX,489.549988,502.700012,488.980011,501.670013
21-May-2021,NFLX,503.119995,505.399994,497.26001,497.890015
24-May-2021,NFLX,501.049988,504.25,499.51001,502.899994
25-May-2021,NFLX,506.0,506.369995,499.220001,501.339996
26-May-2021,NFLX,502.339996,504.140015,500.5,502.359985
27-May-2021,NFLX,501.799988,505.100006,498.540009,503.859985
28-May-2021,NFLX,504.399994,511.76001,502.529999,502.809998
—-—-—,—,504.399994,511.76001,502.529999,502.809998
01-June-2021,NFLX,504.01001,505.410004,497.73999,499.079987
02-June-2021,NFLX,499.820007,503.220001,495.820007,499.23999
03-June-2021,NFLX,495.190002,496.660004,487.25,489.429993
04-June-2021,NFLX,492.0,501.859985,490.950012,494.73999
07-June-2021,NFLX,492.920013,496.700012,490.549988,494.660004
08-June-2021,NFLX,497.0,498.820007,489.369995,492.390015
09-June-2021,NFLX,494.5,496.089996,484.649994,485.809998
10-June-2021,NFLX,487.170013,490.209991,482.140015,487.269989
11-June-2021,NFLX,490.0,491.410004,487.779999,488.769989
14-June-2021,NFLX,490.0,491.410004,487.779999,488.769989
15-June-2021,NFLX,501.230011,501.230011,490.399994,491.899994
16-June-2021,NFLX,495.0,496.459991,486.279999,492.410004
17-June-2021,NFLX,490.25,501.799988,490.149994,498.339996
